id,MUNICÍPIO,LOCALIDADE,LONGITUDE,LATITUDE,CÓDIGO DO,TI,CODIBGE,POPULAÇÃ,DATA DA PE,AQUÍFERO,FINALIDADE,PROFUNDIDA,VAZÃO (m³),ESTADO,RESÍDUO T,CLORETO,DUREZA,NITRATO,FERRO,COR APAREN,FLUORETO,MANGANÊS,NITRATO (1,PH,SULFATO,TURBIDEZ,ESTADO QUA,DATA DA CO,DATA DA AN,POPULAÇ_1,CÓDIGO _1
1,Ibitiara,BARRIGUDA,-42.222777,-12.705277,3,Chapada Diamantina,2913002,,27/03/2025,NÃO INFORMADO,ABASTECIMENTO HUMANO,"70","29,33",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
2,Riacho de Santana,OLHO D'ÁGUA DE ESBARRANCADO,-43.058055,-13.573888,2,Velho Chico,2926400,,17/03/2025,FISSURAL,ABASTECIMENTO HUMANO,"102","11",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
3,Riacho de Santana,TÁBUA DE CIMA,-43.119443,-13.553333,2,Velho Chico,2926400,,17/03/2025,NÃO INFORMADO,ABASTECIMENTO HUMANO,"120","4,95",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
4,Biritinga,SEDE 38,-38.736944,-11.5575,4,Sisal,2903607,,01/03/2025,SEMI-CONFINADO,ABASTECIMENTO HUMANO,"390","120",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
5,Ibitiara,MORRINHOS,-42.537777,-12.696388,3,Chapada Diamantina,2913002,,26/02/2025,FISSURAL,ABASTECIMENTO HUMANO,"150","0,88",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
6,Ibitiara,LAGOA DAS MESTIÇAS,-42.538888,-12.697499,3,Chapada Diamantina,2913002,,23/02/2025,FISSURAL,ABASTECIMENTO HUMANO,"132","0,92",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
7,Sento Sé,LIMOEIRO DA BATATEIRA,-41.373054,-10.078054,10,Sertão do São Francisco,2930204,,15/02/2025,CÁRSTICO / FISSURAL,ABASTECIMENTO HUMANO,"130","2,46",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
8,Ibitiara,GOIAS,-42.386666,-12.69611,3,Chapada Diamantina,2913002,,12/02/2025,FISSURAL,NÃO INFORMADO,"114","0,94",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
9,Araci,FAZENDA APORÁ,-38.975832,-11.331388,4,Sisal,2902104,,12/02/2025,FISSURAL,NÃO INFORMADO,"90","0,99",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
10,Sento Sé,POÇO DO CAROÁ,-41.718054,-10.196666,10,Sertão do São Francisco,2930204,,12/02/2025,CÁRSTICO / FISSURAL,ABASTECIMENTO HUMANO,"120","12,41",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
11,Juazeiro,BARAÚNAS (DISTRITO DE ITAMOTINGA),-39.997221,-9.326666,10,Sertão do São Francisco,2918407,,10/02/2025,FISSURAL,ABASTECIMENTO ANIMAL,"60","3,48",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
12,Oliveira dos Brejinhos,CAJUEIRO,-42.883054,-12.025554,2,Velho Chico,2923209,,08/02/2025,CONFINADO / CÁRSTICO,ABASTECIMENTO HUMANO,"100","2,1",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
13,Piripá,FAZENDA BOA VISTA,-41.76,-14.872221,20,Sudoeste Baiano,2924702,,08/02/2025,FISSURAL,NÃO INFORMADO,"120","3,85",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
14,Condeúba,SAPÉ,-42.02861,-14.664722,20,Sudoeste Baiano,2908705,,07/02/2025,FISSURAL,NÃO INFORMADO,"120","1,25",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
15,Oliveira dos Brejinhos,ALEGRE,-42.856111,-12.073054,2,Velho Chico,2923209,,06/02/2025,FISSURAL,ABASTECIMENTO HUMANO,"80","8,61",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
16,Ibitiara,FAVELA,-42.411111,-12.64861,3,Chapada Diamantina,2913002,,06/02/2025,FISSURAL,NÃO INFORMADO,"120","0,74",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
17,Barra do Choça,ASSENTAMENTO CANGUSSU,-40.650277,-14.954722,20,Sudoeste Baiano,2902906,,06/02/2025,FISSURAL,NÃO INFORMADO,"120","0,52",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
18,Ibitiara,ONÇA,-42.408333,-12.6125,3,Chapada Diamantina,2913002,,05/02/2025,FISSURAL,NÃO INFORMADO,"130","0,54",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
19,Mairi,GATO,-40.189721,-11.833333,15,Bacia do Jacuípe,2920106,,05/02/2025,FISSURAL,ABASTECIMENTO HUMANO,"120","3,11",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
20,Ibitiara,SALGADA,-42.485277,-12.604166,3,Chapada Diamantina,2913002,,03/02/2025,FISSURAL,NÃO INFORMADO,"120","7,77",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
21,Ibotirama,BAIXA FUNDA,-43.205277,-12.237221,2,Velho Chico,2913200,,31/01/2025,LIVRE / FISSURAL,ABASTECIMENTO HUMANO,"0",<Null>,VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
22,Vitória da Conquista,ASSENTAMENTO FÁBIO SANTOS,-40.983333,-15.430554,20,Sudoeste Baiano,2933307,,28/01/2025,FISSURAL,ABASTECIMENTO HUMANO,"130","0,53",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
